"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Angola","2014","Female","15-24 year olds","Percent","66.98237"
"Angola","2014","Male","15-24 year olds","Percent","78.98879"
"Angola","2014","All genders","15-24 year olds","Percent","72.95314"
"Argentina","2014","Male","15-24 year olds","Percent","99.1073"
"Argentina","2014","Female","15-24 year olds","Percent","99.46383"
"Argentina","2014","All genders","15-24 year olds","Percent","99.28286"
"Azerbaijan","2014","Male","15-24 year olds","Percent","99.97624"
"Azerbaijan","2014","Female","15-24 year olds","Percent","99.93638"
"Azerbaijan","2014","All genders","15-24 year olds","Percent","99.95699"
"Azerbaijan","2009","Female","15-24 year olds","Percent","99.94579"
"Azerbaijan","2009","Male","15-24 year olds","Percent","99.95678"
"Azerbaijan","2009","All genders","15-24 year olds","Percent","99.9513"
"Bangladesh","2014","All genders","15-24 year olds","Percent","82.16696"
"Bangladesh","2014","Male","15-24 year olds","Percent","79.77636"
"Bangladesh","2014","Female","15-24 year olds","Percent","84.63501"
"Belarus","2009","All genders","15-24 year olds","Percent","99.82321"
"Belarus","2009","Male","15-24 year olds","Percent","99.80033"
"Belarus","2009","Female","15-24 year olds","Percent","99.84739"
"Bolivia","2009","Female","15-24 year olds","Percent","99.0843"
"Bolivia","2009","All genders","15-24 year olds","Percent","99.38397"
"Bolivia","2009","Male","15-24 year olds","Percent","99.69364"
"Bosnia and Herzegovina","2014","Male","15-24 year olds","Percent","99.66569"
"Bosnia and Herzegovina","2014","All genders","15-24 year olds","Percent","99.66293"
"Bosnia and Herzegovina","2014","Female","15-24 year olds","Percent","99.65999"
"Botswana","2014","Male","15-24 year olds","Percent","95.937"
"Botswana","2014","Female","15-24 year olds","Percent","99.44711"
"Botswana","2014","All genders","15-24 year olds","Percent","97.68083"
"Brazil","2009","Female","15-24 year olds","Percent","98.69204"
"Brazil","2009","Male","15-24 year olds","Percent","97.44572"
"Brazil","2009","All genders","15-24 year olds","Percent","98.06554"
"Brazil","2004","All genders","15-24 year olds","Percent","96.84386"
"Brazil","2004","Female","15-24 year olds","Percent","97.90386"
"Brazil","2004","Male","15-24 year olds","Percent","95.78389"
"Burkina Faso","2014","Female","15-24 year olds","Percent","43.98581"
"Burkina Faso","2014","Male","15-24 year olds","Percent","56.99482"
"Burkina Faso","2014","All genders","15-24 year olds","Percent","50.09625"
"Cambodia","2009","Male","15-24 year olds","Percent","88.35612"
"Cambodia","2009","All genders","15-24 year olds","Percent","87.13246"
"Cambodia","2009","Female","15-24 year olds","Percent","85.86868"
"Cambodia","2004","Female","15-24 year olds","Percent","78.896"
"Cambodia","2004","All genders","15-24 year olds","Percent","83.38286"
"Cambodia","2004","Male","15-24 year olds","Percent","87.92011"
"Cape Verde","2004","Male","15-24 year olds","Percent","96.22623"
"Cape Verde","2004","Female","15-24 year olds","Percent","98.02903"
"Cape Verde","2004","All genders","15-24 year olds","Percent","97.11496"
"Chad","2014","Female","15-24 year olds","Percent","48.30642"
"Chad","2014","All genders","15-24 year olds","Percent","51.73843"
"Chad","2014","Male","15-24 year olds","Percent","55.13811"
"Chad","2004","Male","15-24 year olds","Percent","53.70823"
"Chad","2004","All genders","15-24 year olds","Percent","41.67312"
"Chad","2004","Female","15-24 year olds","Percent","30.77491"
"Chile","2009","All genders","15-24 year olds","Percent","98.87238"
"Chile","2009","Male","15-24 year olds","Percent","98.85938"
"Chile","2009","Female","15-24 year olds","Percent","98.89002"
"Colombia","2014","Female","15-24 year olds","Percent","98.94891"
"Colombia","2014","All genders","15-24 year olds","Percent","98.52905"
"Colombia","2014","Male","15-24 year olds","Percent","98.10671"
"Colombia","2009","Female","15-24 year olds","Percent","98.43472"
"Colombia","2009","All genders","15-24 year olds","Percent","97.93743"
"Colombia","2009","Male","15-24 year olds","Percent","97.44113"
"Colombia","2004","Male","15-24 year olds","Percent","97.55252"
"Colombia","2004","All genders","15-24 year olds","Percent","97.99131"
"Colombia","2004","Female","15-24 year olds","Percent","98.41068"
"Comoros","2014","Male","15-24 year olds","Percent","86.65541"
"Comoros","2014","Female","15-24 year olds","Percent","87.60517"
"Comoros","2014","All genders","15-24 year olds","Percent","87.12284"
"Dominican Republic","2014","Male","15-24 year olds","Percent","97.35356"
"Dominican Republic","2014","All genders","15-24 year olds","Percent","97.68858"
"Dominican Republic","2014","Female","15-24 year olds","Percent","98.04491"
"Ecuador","2009","Female","15-24 year olds","Percent","96.84546"
"Ecuador","2009","Male","15-24 year olds","Percent","96.81895"
"Ecuador","2009","All genders","15-24 year olds","Percent","96.8311"
"El Salvador","2009","All genders","15-24 year olds","Percent","95.02206"
"El Salvador","2009","Female","15-24 year olds","Percent","95.32356"
"El Salvador","2009","Male","15-24 year olds","Percent","94.70805"
"El Salvador","2004","Male","15-24 year olds","Percent","92.09269"
"El Salvador","2004","Female","15-24 year olds","Percent","92.30232"
"El Salvador","2004","All genders","15-24 year olds","Percent","92.19867"
"Equatorial Guinea","2014","Female","15-24 year olds","Percent","98.71456"
"Equatorial Guinea","2014","Male","15-24 year olds","Percent","97.7247"
"Equatorial Guinea","2014","All genders","15-24 year olds","Percent","98.21599"
"Eritrea","2014","Female","15-24 year olds","Percent","90.94104"
"Eritrea","2014","Male","15-24 year olds","Percent","94.12695"
"Eritrea","2014","All genders","15-24 year olds","Percent","92.55056"
"Ethiopia","2004","All genders","15-24 year olds","Percent","49.9"
"Ethiopia","2004","Female","15-24 year olds","Percent","38.5"
"Ethiopia","2004","Male","15-24 year olds","Percent","62.2"
"Gabon","2004","Female","15-24 year olds","Percent","95.59242"
"Gabon","2004","Male","15-24 year olds","Percent","97.79428"
"Gabon","2004","All genders","15-24 year olds","Percent","96.70768"
"Gambia","2014","Female","15-24 year olds","Percent","69.14345"
"Gambia","2014","Male","15-24 year olds","Percent","74.86325"
"Gambia","2014","All genders","15-24 year olds","Percent","71.98157"
"Georgia","2014","Female","15-24 year olds","Percent","99.85065"
"Georgia","2014","Male","15-24 year olds","Percent","99.73954"
"Georgia","2014","All genders","15-24 year olds","Percent","99.79383"
"Greece","2014","All genders","15-24 year olds","Percent","99.42333"
"Greece","2014","Female","15-24 year olds","Percent","99.33969"
"Greece","2014","Male","15-24 year olds","Percent","99.50297"
"Guadeloupe","2014","All genders","15-24 year olds","Percent","99.94801"
"Guadeloupe","2014","Female","15-24 year olds","Percent","99.95422"
"Guadeloupe","2014","Male","15-24 year olds","Percent","99.94215"
"Guadeloupe","2004","Male","15-24 year olds","Percent","99.82892"
"Guadeloupe","2004","Female","15-24 year olds","Percent","99.87399"
"Guadeloupe","2004","All genders","15-24 year olds","Percent","99.85111"
"Guatemala","2014","Male","15-24 year olds","Percent","95.48186"
"Guatemala","2014","Female","15-24 year olds","Percent","93.26925"
"Guatemala","2014","All genders","15-24 year olds","Percent","94.35425"
"Guinea-Bissau","2014","Female","15-24 year olds","Percent","71.93733"
"Guinea-Bissau","2014","Male","15-24 year olds","Percent","80.38715"
"Guinea-Bissau","2014","All genders","15-24 year olds","Percent","76.16048"
"Guyana","2009","All genders","15-24 year olds","Percent","93.09894"
"Guyana","2009","Male","15-24 year olds","Percent","92.42121"
"Guyana","2009","Female","15-24 year olds","Percent","93.67022"
"Honduras","2014","Male","15-24 year olds","Percent","95.04737"
"Honduras","2014","All genders","15-24 year olds","Percent","95.67707"
"Honduras","2014","Female","15-24 year olds","Percent","96.29226"
"Hungary","2014","Male","15-24 year olds","Percent","98.705"
"Hungary","2014","All genders","15-24 year olds","Percent","98.85228"
"Hungary","2014","Female","15-24 year olds","Percent","99.00635"
